lv,exp,exp_total,pve_action
1,60,60,10
2,60,120,10
3,60,180,10
4,60,240,10
5,60,300,10
6,60,360,10
7,70,430,10
8,110,540,10
9,170,710,10
10,240,950,10
11,330,1280,20
12,440,1720,20
13,580,2300,20
14,750,3050,20
15,960,4010,20
16,1220,5230,20
17,1410,6640,20
18,1640,8280,20
19,1890,10170,20
20,2150,12320,20
21,2450,14770,40
22,2770,17540,40
23,3120,20660,40
24,3500,24160,40
25,3910,28070,40
26,4360,32430,40
27,4830,37260,40
28,5340,42600,40
29,5880,48480,40
30,6460,54940,40
31,7080,62020,40
32,7740,69760,40
33,8430,78190,40
34,9170,87360,40
35,9950,97310,40
36,10780,108090,40
37,11640,119730,40
38,12560,132290,40
39,13520,145810,40
40,15180,160990,40
41,16920,177910,40
42,18750,196660,40
43,20660,217320,40
44,22650,239970,40
45,24740,264710,40
46,26910,291620,40
47,29170,320790,40
48,31520,352310,40
49,33960,386270,40
50,36500,422770,40
51,39130,461900,40
52,41860,503760,40
53,44680,548440,40
54,47610,596050,40
55,50630,646680,40
56,53750,700430,40
57,56970,757400,40
58,60300,817700,40
59,63720,881420,40
60,67260,948680,40
61,67260,1015940,40
62,67260,1083200,40
63,67260,1150460,40
64,67260,1217720,40
65,67260,1284980,40
66,67260,1352240,40
67,67260,1419500,40
68,67260,1486760,40
69,67260,1554020,40
70,67260,1621280,40
71,67260,1688540,40
72,67260,1755800,40
73,67260,1823060,40
74,67260,1890320,40
75,67260,1957580,40
76,67260,2024840,40
77,67260,2092100,40
78,67260,2159360,40
79,67260,2226620,40
80,67260,2293880,40
81,67260,2361140,40
82,67260,2428400,40
83,67260,2495660,40
84,67260,2562920,40
85,67260,2630180,40
86,67260,2697440,40
87,67260,2764700,40
88,67260,2831960,40
89,67260,2899220,40
90,67260,2966480,40
91,67260,3033740,40
92,67260,3101000,40
93,67260,3168260,40
94,67260,3235520,40
95,67260,3302780,40
96,67260,3370040,40
97,67260,3437300,40
98,67260,3504560,40
99,67260,3571820,40
100,67260,3639080,40
